교습형태,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교습소명,교습소주소,분야구분,교습계열,교습과정,2016(1),2016(2),2016(3),2016(4),2016(5),2016(6),2016(7),2016(8),2016(9),2016(10),2016(11),2016(12),2017(1),2017(2),2017(3),2017(4),2017(5),2017(6),2017(7),2017(8),2017(9),2017(10),2017(11),2017(12),2018(1),2018(2),2018(3),2018(4),2018(5),2018(6),2018(7),2018(8),2018(9),2018(10),2018(11),2018(12)
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 6,931,000 "," 4,874,000 "," 3,087,000 "," 6,420,000 "," 3,116,000 "," 863,000 "," 3,217,000 "," 1,665,000 "," 991,000 "," 5,531,000 "," 4,576,000 "," 4,753,000 "," 874,000 "," 3,595,000 "," 3,945,000 "," 3,774,000 "," 558,000 "," 438,000 "," 1,692,000 "," 118,000 "," 5,000,000 "," 6,964,000 "," 3,534,000 "," 1,154,000 "," 768,000 "," 3,982,000 "," 5,017,000 "," 6,745,000 "," 235,000 "," 6,044,000 "," 3,004,000 "," 2,206,000 "," 381,000 "," 6,679,000 "," 2,876,000 "," 1,380,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 4,649,000 "," 2,693,000 "," 4,492,000 "," 4,576,000 "," 1,224,000 "," 6,516,000 "," 1,739,000 "," 1,811,000 "," 6,018,000 "," 5,498,000 "," 4,964,000 "," 528,000 "," 1,327,000 "," 2,066,000 "," 5,103,000 "," 3,424,000 "," 5,578,000 "," 4,684,000 "," 3,927,000 "," 872,000 "," 828,000 "," 6,257,000 "," 6,373,000 "," 4,578,000 "," 6,483,000 "," 4,776,000 "," 2,631,000 "," 6,718,000 "," 3,124,000 "," 1,737,000 "," 2,870,000 "," 3,836,000 "," 1,449,000 "," 2,394,000 "," 1,071,000 "," 5,575,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 6,534,000 "," 920,000 "," 6,593,000 "," 6,773,000 "," 1,138,000 "," 2,446,000 "," 5,363,000 "," 5,489,000 "," 1,410,000 "," 2,325,000 "," 880,000 "," 3,689,000 "," 4,577,000 "," 3,769,000 "," 2,370,000 "," 6,206,000 "," 3,981,000 "," 6,025,000 "," 1,779,000 "," 3,247,000 "," 6,577,000 "," 5,781,000 "," 4,218,000 "," 279,000 "," 1,975,000 "," 4,715,000 "," 3,614,000 "," 1,832,000 "," 6,003,000 "," 5,475,000 "," 1,166,000 "," 6,239,000 "," 4,408,000 "," 4,747,000 "," 4,973,000 "," 3,691,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 2,759,000 "," 112,000 "," 3,844,000 "," 1,087,000 "," 2,709,000 "," 1,893,000 "," 3,719,000 "," 5,209,000 "," 4,215,000 "," 957,000 "," 4,701,000 "," 3,861,000 "," 5,129,000 "," 2,670,000 "," 4,462,000 "," 2,225,000 "," 6,482,000 "," 4,443,000 "," 1,246,000 "," 342,000 "," 3,418,000 "," 5,884,000 "," 2,204,000 "," 2,433,000 "," 1,531,000 "," 4,347,000 "," 2,074,000 "," 3,765,000 "," 6,903,000 "," 176,000 "," 4,930,000 "," 4,739,000 "," 5,854,000 "," 1,607,000 "," 853,000 "," 4,512,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 3,722,000 "," 6,720,000 "," 4,604,000 "," 5,759,000 "," 4,985,000 "," 571,000 "," 5,126,000 "," 2,055,000 "," 6,253,000 "," 3,567,000 "," 789,000 "," 1,849,000 "," 4,697,000 "," 6,922,000 "," 2,346,000 "," 852,000 "," 5,479,000 "," 3,156,000 "," 2,605,000 "," 3,449,000 "," 5,308,000 "," 2,590,000 "," 1,165,000 "," 3,796,000 "," 3,411,000 "," 184,000 "," 5,004,000 "," 525,000 "," 2,853,000 "," 4,235,000 "," 1,714,000 "," 5,585,000 "," 1,672,000 "," 3,469,000 "," 3,553,000 "," 5,363,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 4,620,000 "," 5,356,000 "," 5,639,000 "," 6,633,000 "," 4,755,000 "," 5,351,000 "," 2,144,000 "," 487,000 "," 2,016,000 "," 313,000 "," 5,464,000 "," 4,848,000 "," 5,891,000 "," 3,102,000 "," 2,626,000 "," 2,834,000 "," 628,000 "," 2,427,000 "," 6,800,000 "," 6,590,000 "," 2,908,000 "," 2,761,000 "," 2,772,000 "," 6,953,000 "," 4,848,000 "," 1,327,000 "," 3,626,000 "," 1,329,000 "," 3,553,000 "," 1,944,000 "," 6,526,000 "," 3,435,000 "," 2,530,000 "," 1,854,000 "," 4,070,000 "," 582,000 "
더피아니즘음악교습소,"서울특별시 관악구 남부순환로141길 14 , 2층 (신림동)",예능(대),예능(중),음악," 874,000 "," 267,000 "," 3,437,000 "," 1,115,000 "," 3,123,000 "," 2,374,000 "," 6,942,000 "," 5,187,000 "," 1,468,000 "," 877,000 "," 1,253,000 "," 4,740,000 "," 3,407,000 "," 5,463,000 "," 6,950,000 "," 1,687,000 "," 2,493,000 "," 1,573,000 "," 2,494,000 "," 2,996,000 "," 2,157,000 "," 3,194,000 "," 810,000 "," 4,253,000 "," 2,972,000 "," 4,466,000 "," 6,142,000 "," 5,742,000 "," 4,187,000 "," 529,000 "," 1,582,000 "," 5,120,000 "," 4,985,000 "," 6,767,000 "," 1,768,000 "," 3,450,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 5,660,000 "," 4,168,000 "," 3,910,000 "," 1,224,000 "," 6,883,000 "," 1,031,000 "," 1,124,000 "," 6,941,000 "," 1,375,000 "," 5,410,000 "," 4,435,000 "," 3,735,000 "," 4,762,000 "," 1,989,000 "," 955,000 "," 3,857,000 "," 593,000 "," 4,873,000 "," 5,454,000 "," 4,308,000 "," 5,885,000 "," 4,209,000 "," 5,885,000 "," 4,621,000 "," 1,844,000 "," 743,000 "," 3,881,000 "," 4,001,000 "," 5,999,000 "," 849,000 "," 520,000 "," 1,604,000 "," 3,726,000 "," 457,000 "," 5,169,000 "," 5,745,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 6,760,000 "," 6,528,000 "," 6,545,000 "," 5,329,000 "," 5,764,000 "," 6,133,000 "," 3,615,000 "," 2,160,000 "," 1,092,000 "," 2,190,000 "," 1,948,000 "," 4,727,000 "," 2,393,000 "," 3,836,000 "," 3,598,000 "," 832,000 "," 6,680,000 "," 4,269,000 "," 6,809,000 "," 677,000 "," 6,984,000 "," 273,000 "," 3,355,000 "," 837,000 "," 1,275,000 "," 6,803,000 "," 4,838,000 "," 5,558,000 "," 3,031,000 "," 1,953,000 "," 1,281,000 "," 5,356,000 "," 6,104,000 "," 6,915,000 "," 410,000 "," 511,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 1,269,000 "," 6,590,000 "," 6,044,000 "," 5,938,000 "," 4,162,000 "," 2,640,000 "," 6,711,000 "," 3,184,000 "," 3,692,000 "," 2,145,000 "," 2,577,000 "," 4,769,000 "," 4,758,000 "," 986,000 "," 5,745,000 "," 5,803,000 "," 5,716,000 "," 1,846,000 "," 6,811,000 "," 6,578,000 "," 4,895,000 "," 3,086,000 "," 4,071,000 "," 2,547,000 "," 2,949,000 "," 1,991,000 "," 6,341,000 "," 2,961,000 "," 2,323,000 "," 1,379,000 "," 3,740,000 "," 2,067,000 "," 1,080,000 "," 5,057,000 "," 3,788,000 "," 2,308,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 5,787,000 "," 1,234,000 "," 1,460,000 "," 6,894,000 "," 1,892,000 "," 1,388,000 "," 209,000 "," 1,721,000 "," 5,294,000 "," 1,248,000 "," 6,607,000 "," 4,481,000 "," 2,506,000 "," 5,675,000 "," 392,000 "," 6,092,000 "," 4,786,000 "," 2,163,000 "," 3,004,000 "," 1,418,000 "," 1,428,000 "," 2,142,000 "," 4,445,000 "," 3,132,000 "," 5,989,000 "," 2,310,000 "," 3,476,000 "," 771,000 "," 1,932,000 "," 2,642,000 "," 4,492,000 "," 4,204,000 "," 825,000 "," 1,853,000 "," 4,097,000 "," 3,225,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 6,744,000 "," 5,761,000 "," 3,999,000 "," 4,469,000 "," 2,783,000 "," 1,710,000 "," 4,633,000 "," 3,399,000 "," 6,636,000 "," 4,387,000 "," 3,630,000 "," 1,434,000 "," 3,905,000 "," 1,438,000 "," 1,252,000 "," 6,539,000 "," 3,560,000 "," 2,293,000 "," 5,768,000 "," 5,699,000 "," 3,221,000 "," 4,408,000 "," 2,955,000 "," 5,719,000 "," 4,422,000 "," 4,497,000 "," 2,648,000 "," 3,214,000 "," 6,369,000 "," 6,014,000 "," 3,246,000 "," 1,750,000 "," 939,000 "," 275,000 "," 1,411,000 "," 3,366,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 4,348,000 "," 3,950,000 "," 6,542,000 "," 3,383,000 "," 6,164,000 "," 3,829,000 "," 5,218,000 "," 3,739,000 "," 1,404,000 "," 4,460,000 "," 1,904,000 "," 2,043,000 "," 5,400,000 "," 1,278,000 "," 6,829,000 "," 6,740,000 "," 6,962,000 "," 2,346,000 "," 706,000 "," 1,148,000 "," 5,852,000 "," 3,909,000 "," 6,758,000 "," 1,794,000 "," 3,278,000 "," 3,273,000 "," 6,195,000 "," 5,667,000 "," 3,890,000 "," 3,914,000 "," 5,372,000 "," 2,245,000 "," 3,321,000 "," 6,025,000 "," 4,090,000 "," 3,178,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 976,000 "," 593,000 "," 5,987,000 "," 1,268,000 "," 965,000 "," 1,915,000 "," 3,295,000 "," 2,568,000 "," 5,272,000 "," 981,000 "," 5,784,000 "," 2,041,000 "," 4,139,000 "," 1,914,000 "," 3,123,000 "," 5,109,000 "," 6,233,000 "," 2,024,000 "," 583,000 "," 5,770,000 "," 3,245,000 "," 4,462,000 "," 3,814,000 "," 3,590,000 "," 5,814,000 "," 5,868,000 "," 895,000 "," 6,979,000 "," 2,240,000 "," 1,706,000 "," 2,075,000 "," 1,679,000 "," 2,182,000 "," 1,818,000 "," 6,886,000 "," 3,680,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 137,000 "," 4,696,000 "," 979,000 "," 6,279,000 "," 433,000 "," 4,768,000 "," 4,401,000 "," 2,549,000 "," 5,100,000 "," 4,210,000 "," 100,000 "," 5,150,000 "," 1,489,000 "," 3,642,000 "," 2,653,000 "," 5,122,000 "," 3,002,000 "," 1,798,000 "," 1,884,000 "," 2,919,000 "," 2,236,000 "," 1,566,000 "," 3,079,000 "," 5,444,000 "," 459,000 "," 2,106,000 "," 4,180,000 "," 1,827,000 "," 4,152,000 "," 2,630,000 "," 1,106,000 "," 3,317,000 "," 1,459,000 "," 6,878,000 "," 341,000 "," 6,108,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 5,514,000 "," 4,260,000 "," 4,634,000 "," 2,813,000 "," 2,717,000 "," 5,134,000 "," 5,237,000 "," 6,855,000 "," 647,000 "," 5,692,000 "," 4,894,000 "," 4,220,000 "," 5,495,000 "," 1,034,000 "," 3,100,000 "," 1,326,000 "," 3,616,000 "," 3,909,000 "," 2,891,000 "," 6,635,000 "," 5,149,000 "," 4,886,000 "," 230,000 "," 1,689,000 "," 2,479,000 "," 1,458,000 "," 4,162,000 "," 1,624,000 "," 3,815,000 "," 6,406,000 "," 3,447,000 "," 2,337,000 "," 3,172,000 "," 3,592,000 "," 4,947,000 "," 5,310,000 "
하나피아노음악교습소,서울특별시 동작구 여의대방로36길 22 2층 (대방동),예능(대),예능(중),음악," 5,273,000 "," 6,306,000 "," 5,086,000 "," 5,829,000 "," 1,543,000 "," 188,000 "," 2,289,000 "," 6,597,000 "," 1,184,000 "," 6,295,000 "," 3,302,000 "," 4,668,000 "," 4,627,000 "," 6,988,000 "," 2,494,000 "," 4,307,000 "," 1,812,000 "," 3,256,000 "," 5,965,000 "," 1,809,000 "," 2,183,000 "," 972,000 "," 4,294,000 "," 2,779,000 "," 2,667,000 "," 2,607,000 "," 5,794,000 "," 3,415,000 "," 4,498,000 "," 2,556,000 "," 883,000 "," 1,433,000 "," 1,080,000 "," 527,000 "," 2,183,000 "," 529,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 4,597,000 "," 5,303,000 "," 3,728,000 "," 5,264,000 "," 2,818,000 "," 4,940,000 "," 3,462,000 "," 6,232,000 "," 680,000 "," 5,115,000 "," 2,513,000 "," 6,848,000 "," 5,630,000 "," 1,353,000 "," 1,115,000 "," 5,271,000 "," 3,671,000 "," 6,261,000 "," 6,267,000 "," 3,590,000 "," 2,276,000 "," 794,000 "," 5,052,000 "," 5,887,000 "," 2,320,000 "," 6,742,000 "," 6,355,000 "," 5,670,000 "," 2,390,000 "," 1,133,000 "," 6,398,000 "," 6,546,000 "," 3,407,000 "," 4,310,000 "," 5,077,000 "," 4,400,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 2,864,000 "," 2,199,000 "," 960,000 "," 1,484,000 "," 516,000 "," 4,421,000 "," 2,325,000 "," 185,000 "," 4,728,000 "," 1,269,000 "," 6,246,000 "," 3,613,000 "," 627,000 "," 5,924,000 "," 4,051,000 "," 6,060,000 "," 1,055,000 "," 4,677,000 "," 2,405,000 "," 4,763,000 "," 3,506,000 "," 6,642,000 "," 6,972,000 "," 5,886,000 "," 3,822,000 "," 6,623,000 "," 1,264,000 "," 471,000 "," 4,430,000 "," 4,297,000 "," 3,131,000 "," 2,444,000 "," 4,144,000 "," 996,000 "," 6,023,000 "," 4,549,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 6,484,000 "," 5,609,000 "," 4,840,000 "," 3,868,000 "," 5,585,000 "," 5,789,000 "," 2,540,000 "," 4,835,000 "," 1,537,000 "," 4,664,000 "," 1,950,000 "," 6,986,000 "," 4,507,000 "," 4,781,000 "," 2,234,000 "," 5,935,000 "," 1,826,000 "," 6,128,000 "," 5,764,000 "," 363,000 "," 437,000 "," 1,581,000 "," 3,588,000 "," 2,419,000 "," 3,297,000 "," 6,776,000 "," 1,980,000 "," 2,277,000 "," 3,873,000 "," 5,523,000 "," 1,852,000 "," 5,062,000 "," 6,779,000 "," 5,407,000 "," 3,526,000 "," 3,650,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 1,307,000 "," 1,877,000 "," 332,000 "," 3,219,000 "," 4,018,000 "," 2,820,000 "," 4,429,000 "," 491,000 "," 3,578,000 "," 2,948,000 "," 3,381,000 "," 3,900,000 "," 5,759,000 "," 373,000 "," 658,000 "," 295,000 "," 529,000 "," 1,480,000 "," 2,844,000 "," 5,784,000 "," 1,060,000 "," 5,169,000 "," 3,071,000 "," 6,625,000 "," 5,286,000 "," 2,338,000 "," 1,946,000 "," 5,832,000 "," 1,414,000 "," 1,836,000 "," 6,726,000 "," 6,491,000 "," 4,687,000 "," 3,032,000 "," 5,138,000 "," 6,992,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 1,300,000 "," 5,502,000 "," 4,620,000 "," 1,015,000 "," 1,612,000 "," 5,661,000 "," 378,000 "," 6,133,000 "," 3,552,000 "," 5,284,000 "," 5,504,000 "," 1,806,000 "," 4,049,000 "," 3,324,000 "," 5,487,000 "," 2,124,000 "," 4,237,000 "," 5,133,000 "," 4,523,000 "," 769,000 "," 5,561,000 "," 1,506,000 "," 4,655,000 "," 6,929,000 "," 4,003,000 "," 1,477,000 "," 774,000 "," 5,824,000 "," 5,518,000 "," 5,043,000 "," 713,000 "," 706,000 "," 793,000 "," 818,000 "," 1,432,000 "," 6,386,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 2,447,000 "," 4,320,000 "," 255,000 "," 5,717,000 "," 4,545,000 "," 3,692,000 "," 3,694,000 "," 1,629,000 "," 2,468,000 "," 5,799,000 "," 312,000 "," 254,000 "," 4,816,000 "," 2,346,000 "," 6,166,000 "," 6,930,000 "," 1,822,000 "," 3,474,000 "," 3,025,000 "," 4,741,000 "," 2,571,000 "," 4,619,000 "," 3,106,000 "," 6,560,000 "," 3,397,000 "," 2,940,000 "," 269,000 "," 693,000 "," 998,000 "," 2,240,000 "," 4,149,000 "," 2,780,000 "," 6,718,000 "," 2,769,000 "," 6,970,000 "," 3,513,000 "
은혜음악교습소,서울특별시 동작구 국사봉7길 23 1층 (상도동),예능(대),예능(중),음악," 230,000 "," 138,000 "," 3,983,000 "," 1,236,000 "," 5,931,000 "," 6,199,000 "," 6,571,000 "," 4,027,000 "," 4,404,000 "," 3,317,000 "," 1,693,000 "," 6,044,000 "," 5,142,000 "," 1,154,000 "," 3,590,000 "," 5,480,000 "," 6,367,000 "," 6,966,000 "," 4,637,000 "," 4,845,000 "," 5,829,000 "," 1,794,000 "," 117,000 "," 4,694,000 "," 3,749,000 "," 3,946,000 "," 5,913,000 "," 6,529,000 "," 2,013,000 "," 1,451,000 "," 679,000 "," 3,065,000 "," 6,997,000 "," 1,832,000 "," 4,787,000 "," 1,136,000 "
한셈수학교습소,"서울특별시 동작구 국사봉14길 5 , 1층 일부 (상도동)",입시.검정 및 보습,보통교과,보습," 6,101,000 "," 6,319,000 "," 1,068,000 "," 2,208,000 "," 6,287,000 "," 2,555,000 "," 5,572,000 "," 4,110,000 "," 5,850,000 "," 2,842,000 "," 5,827,000 "," 4,846,000 "," 5,339,000 "," 3,182,000 "," 5,361,000 "," 4,791,000 "," 5,993,000 "," 888,000 "," 1,035,000 "," 6,070,000 "," 6,294,000 "," 2,868,000 "," 5,114,000 "," 1,167,000 "," 6,953,000 "," 2,676,000 "," 661,000 "," 2,219,000 "," 5,109,000 "," 6,338,000 "," 3,557,000 "," 6,378,000 "," 5,724,000 "," 455,000 "," 4,306,000 "," 5,643,000 "
한셈수학교습소,"서울특별시 동작구 국사봉14길 5 , 1층 일부 (상도동)",입시.검정 및 보습,보통교과,보습," 449,000 "," 5,409,000 "," 1,330,000 "," 218,000 "," 5,088,000 "," 6,473,000 "," 5,411,000 "," 1,565,000 "," 4,768,000 "," 4,216,000 "," 1,977,000 "," 4,072,000 "," 6,129,000 "," 5,467,000 "," 2,393,000 "," 2,905,000 "," 5,423,000 "," 1,352,000 "," 4,299,000 "," 6,565,000 "," 1,022,000 "," 1,899,000 "," 6,829,000 "," 164,000 "," 6,867,000 "," 6,708,000 "," 507,000 "," 5,335,000 "," 2,998,000 "," 954,000 "," 643,000 "," 6,620,000 "," 2,331,000 "," 4,583,000 "," 6,263,000 "," 6,971,000 "
